vp_km_s,window_s,rows,valid_fraction,invalid_rows,delta_vs_6s_q05,delta_vs_6s_median,delta_vs_6s_q95,abs_delta_vs_6s_median,abs_delta_vs_6s_q95
5.5,1.0,26850,0.9997765363128491,6,0.6366452786461336,2.5169995946064336,4.594168187286918,2.5169995946064336,4.594168187286918
5.5,2.0,26850,0.9997392923649907,7,0.6366452786461336,2.5169995946064336,4.594168187286918,2.5169995946064336,4.594168187286918
5.5,3.0,26850,0.9996648044692737,9,0.6366452786461336,2.5169995946064336,4.594168187286918,2.5169995946064336,4.594168187286918
5.5,5.0,26850,0.9995903165735568,11,0.6366452786461336,2.5169995946064336,4.594168187286918,2.5169995946064336,4.594168187286918
5.5,10.0,26850,0.9989199255121043,29,0.6366452786461336,2.5169995946064336,4.594168187286918,2.5169995946064336,4.594168187286918
6.0,1.0,26850,0.9998882681564246,3,0.0,0.0,0.0,0.0,0.0
6.0,2.0,26850,0.9998137802607077,5,0.0,0.0,0.0,0.0,0.0
6.0,3.0,26850,0.9997765363128491,6,0.0,0.0,0.0,0.0,0.0
6.0,5.0,26850,0.9997020484171322,8,0.0,0.0,0.0,0.0,0.0
6.0,10.0,26850,0.9990689013035382,25,0.0,0.0,0.0,0.0,0.0
6.5,1.0,26850,0.9954934823091248,121,-3.887373081550474,-2.129768887743907,-0.538699851162116,2.129768887743907,3.887373081550473
6.5,2.0,26850,0.9954562383612663,122,-3.887373081550474,-2.129768887743907,-0.538699851162116,2.129768887743907,3.887373081550473
6.5,3.0,26850,0.9953817504655493,124,-3.887373081550474,-2.129768887743907,-0.538699851162116,2.129768887743907,3.887373081550473
6.5,5.0,26850,0.9952327746741154,128,-3.887373081550474,-2.129768887743907,-0.538699851162116,2.129768887743907,3.887373081550473
6.5,10.0,26850,0.9948230912476722,139,-3.887373081550474,-2.129768887743907,-0.538699851162116,2.129768887743907,3.887373081550473
