dataset,holdout,early_seconds,train_rows,test_rows,train_groups,test_groups,group_overlap,rows_after_gmm_filter,vs30_missing_fraction_train,vs30_missing_fraction_test,magnitude_missing_policy,vs30_missing_policy,distance_mapping,target,reference,model_family,bias_log10,mae_log10_target,rmse_log10_target,r2_log10_target,q90_abs_error_log10_target,q95_abs_error_log10_target
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,early_waveform_distance_site_hgb,early_waveform_model,nan,0.23683842541305922,0.3123443237007937,0.7915602246590144,0.48405774819103364,0.6074423652643735
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,BooreEtAl2014_Rjb,regional_gmm_bias_corrected,-0.18101668176379587,0.3583236632358802,,0.4572592860488538,0.776370569563661,1.0263153160387524
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,AkkarEtAlRjb2014,regional_gmm_bias_corrected,-0.29612364742404956,0.35414235994639215,,0.46829783926485957,0.7533614222241347,1.0154941492959466
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,AkkarEtAlRhyp2014,regional_gmm_bias_corrected,-0.19578295617402475,0.34304662120125423,,0.49930759176413797,0.7196822539608432,0.9449753715575464
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,BindiEtAl2014Rjb,regional_gmm_bias_corrected,-0.21774587783340835,0.35300146547467476,,0.47068461126091665,0.7532524925510926,0.9961040704734158
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,BindiEtAl2014Rhyp,regional_gmm_bias_corrected,-0.23572441697992463,0.3458158283576058,,0.4913834726110785,0.733295439697002,0.9417462287490995
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pga,CauzziEtAl2014,regional_gmm_bias_corrected,-0.2910747172998578,0.34487870538543264,,0.4932410299101735,0.7280443079149743,0.9477297610773
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,early_waveform_distance_site_hgb,early_waveform_model,nan,0.2950238753452907,0.38793886442864145,0.68904429684777,0.618736926293564,0.7722997128133005
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,BooreEtAl2014_Rjb,regional_gmm_bias_corrected,-0.16064357230421056,0.33990870896922537,,0.53160739273228,0.7147802573814789,0.9502252348460133
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,AkkarEtAlRjb2014,regional_gmm_bias_corrected,-0.2469791119339353,0.3413646724789202,,0.5284467638157465,0.7106088908996454,0.9493662084443372
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,AkkarEtAlRhyp2014,regional_gmm_bias_corrected,-0.17525590289798854,0.3269304027689836,,0.5694014385924884,0.6788144933803071,0.8846802158389279
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,BindiEtAl2014Rjb,regional_gmm_bias_corrected,-0.1357038963756576,0.3396658576416029,,0.5327108380315038,0.7056677192434587,0.9203125927467916
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,BindiEtAl2014Rhyp,regional_gmm_bias_corrected,0.0279715734985877,0.3229718245719988,,0.5750866748859662,0.6660333098769909,0.8608878221692704
esm,event,2.0,15329,6000,406,181,0,21442,0.18742253245482418,0.167,drop_missing_source_magnitude,fill_760_mps_for_gmm,rjb=source_distance_km; rhypo/rrup=path_hyp_distance_km,pgv,CauzziEtAl2014,regional_gmm_bias_corrected,-0.29967554520534523,0.3339172099910526,,0.5592974294004446,0.6837591353407577,0.8875712734050852
