scope,dataset,target,holdout,early_seconds,comparison,reduction_pct
instancegm_knet_station,instancegm,pga,station,1.0,metadata_vs_median,43.81415757089561
instancegm_knet_station,instancegm,pga,station,1.0,p_waveform_vs_median,33.87285232379927
instancegm_knet_station,instancegm,pga,station,1.0,metadata_plus_p_vs_metadata,23.92440092016843
instancegm_knet_station,instancegm,pga,station,2.0,metadata_vs_median,43.81415757089561
instancegm_knet_station,instancegm,pga,station,2.0,p_waveform_vs_median,35.308148958930815
instancegm_knet_station,instancegm,pga,station,2.0,metadata_plus_p_vs_metadata,25.651409830958492
instancegm_knet_station,instancegm,pga,station,3.0,metadata_vs_median,43.81415757089561
instancegm_knet_station,instancegm,pga,station,3.0,p_waveform_vs_median,37.292079889032
instancegm_knet_station,instancegm,pga,station,3.0,metadata_plus_p_vs_metadata,28.84664374651269
instancegm_knet_station,instancegm,pga,station,5.0,metadata_vs_median,43.81415757089561
instancegm_knet_station,instancegm,pga,station,5.0,p_waveform_vs_median,41.35218743534636
instancegm_knet_station,instancegm,pga,station,5.0,metadata_plus_p_vs_metadata,31.23203593040302
instancegm_knet_station,instancegm,pga,station,10.0,metadata_vs_median,43.81415757089561
instancegm_knet_station,instancegm,pga,station,10.0,p_waveform_vs_median,49.055678636338335
instancegm_knet_station,instancegm,pga,station,10.0,metadata_plus_p_vs_metadata,35.46968802810165
instancegm_knet_station,instancegm,pgv,station,1.0,metadata_vs_median,37.425659032253286
instancegm_knet_station,instancegm,pgv,station,1.0,p_waveform_vs_median,42.725099344002615
instancegm_knet_station,instancegm,pgv,station,1.0,metadata_plus_p_vs_metadata,40.05665625457364
instancegm_knet_station,instancegm,pgv,station,2.0,metadata_vs_median,37.425659032253286
instancegm_knet_station,instancegm,pgv,station,2.0,p_waveform_vs_median,47.31193777445839
instancegm_knet_station,instancegm,pgv,station,2.0,metadata_plus_p_vs_metadata,40.719377784584175
instancegm_knet_station,instancegm,pgv,station,3.0,metadata_vs_median,37.425659032253286
instancegm_knet_station,instancegm,pgv,station,3.0,p_waveform_vs_median,49.19608494180331
instancegm_knet_station,instancegm,pgv,station,3.0,metadata_plus_p_vs_metadata,41.59472922814244
instancegm_knet_station,instancegm,pgv,station,5.0,metadata_vs_median,37.425659032253286
instancegm_knet_station,instancegm,pgv,station,5.0,p_waveform_vs_median,53.179645308154335
instancegm_knet_station,instancegm,pgv,station,5.0,metadata_plus_p_vs_metadata,45.39991343269089
instancegm_knet_station,instancegm,pgv,station,10.0,metadata_vs_median,37.425659032253286
instancegm_knet_station,instancegm,pgv,station,10.0,p_waveform_vs_median,59.711850585716476
instancegm_knet_station,instancegm,pgv,station,10.0,metadata_plus_p_vs_metadata,52.6268837929389
instancegm_knet_station,instancegm,sa03,station,1.0,metadata_vs_median,47.667641032612146
instancegm_knet_station,instancegm,sa03,station,1.0,p_waveform_vs_median,21.73912667042685
instancegm_knet_station,instancegm,sa03,station,1.0,metadata_plus_p_vs_metadata,15.247090870736965
instancegm_knet_station,instancegm,sa03,station,2.0,metadata_vs_median,47.667641032612146
instancegm_knet_station,instancegm,sa03,station,2.0,p_waveform_vs_median,25.56515253764178
instancegm_knet_station,instancegm,sa03,station,2.0,metadata_plus_p_vs_metadata,15.931357024357878
instancegm_knet_station,instancegm,sa03,station,3.0,metadata_vs_median,47.667641032612146
instancegm_knet_station,instancegm,sa03,station,3.0,p_waveform_vs_median,28.73367479574415
instancegm_knet_station,instancegm,sa03,station,3.0,metadata_plus_p_vs_metadata,19.553188340677362
instancegm_knet_station,instancegm,sa03,station,5.0,metadata_vs_median,47.667641032612146
instancegm_knet_station,instancegm,sa03,station,5.0,p_waveform_vs_median,32.88652885339643
instancegm_knet_station,instancegm,sa03,station,5.0,metadata_plus_p_vs_metadata,21.099613261793888
instancegm_knet_station,instancegm,sa03,station,10.0,metadata_vs_median,47.667641032612146
instancegm_knet_station,instancegm,sa03,station,10.0,p_waveform_vs_median,38.218332489484766
instancegm_knet_station,instancegm,sa03,station,10.0,metadata_plus_p_vs_metadata,26.039790798748808
instancegm_knet_station,instancegm,sa10,station,1.0,metadata_vs_median,44.48151097920506
instancegm_knet_station,instancegm,sa10,station,1.0,p_waveform_vs_median,23.594931043536434
instancegm_knet_station,instancegm,sa10,station,1.0,metadata_plus_p_vs_metadata,16.471160220268864
instancegm_knet_station,instancegm,sa10,station,2.0,metadata_vs_median,44.48151097920506
instancegm_knet_station,instancegm,sa10,station,2.0,p_waveform_vs_median,27.149266330077698
instancegm_knet_station,instancegm,sa10,station,2.0,metadata_plus_p_vs_metadata,16.757529139975606
instancegm_knet_station,instancegm,sa10,station,3.0,metadata_vs_median,44.48151097920506
instancegm_knet_station,instancegm,sa10,station,3.0,p_waveform_vs_median,27.75169326626517
instancegm_knet_station,instancegm,sa10,station,3.0,metadata_plus_p_vs_metadata,16.69625479323803
instancegm_knet_station,instancegm,sa10,station,5.0,metadata_vs_median,44.48151097920506
instancegm_knet_station,instancegm,sa10,station,5.0,p_waveform_vs_median,32.94183325253099
instancegm_knet_station,instancegm,sa10,station,5.0,metadata_plus_p_vs_metadata,18.804289339828216
instancegm_knet_station,instancegm,sa10,station,10.0,metadata_vs_median,44.48151097920506
instancegm_knet_station,instancegm,sa10,station,10.0,p_waveform_vs_median,35.448959480606995
instancegm_knet_station,instancegm,sa10,station,10.0,metadata_plus_p_vs_metadata,20.8871270304694
instancegm_knet_station,instancegm,sa30,station,1.0,metadata_vs_median,26.47385901230093
instancegm_knet_station,instancegm,sa30,station,1.0,p_waveform_vs_median,31.281611463722385
instancegm_knet_station,instancegm,sa30,station,1.0,metadata_plus_p_vs_metadata,24.20584556951521
instancegm_knet_station,instancegm,sa30,station,2.0,metadata_vs_median,26.47385901230093
instancegm_knet_station,instancegm,sa30,station,2.0,p_waveform_vs_median,34.26291010101261
instancegm_knet_station,instancegm,sa30,station,2.0,metadata_plus_p_vs_metadata,25.86147290149488
instancegm_knet_station,instancegm,sa30,station,3.0,metadata_vs_median,26.47385901230093
instancegm_knet_station,instancegm,sa30,station,3.0,p_waveform_vs_median,35.334549381243754
instancegm_knet_station,instancegm,sa30,station,3.0,metadata_plus_p_vs_metadata,26.313487633789624
instancegm_knet_station,instancegm,sa30,station,5.0,metadata_vs_median,26.47385901230093
instancegm_knet_station,instancegm,sa30,station,5.0,p_waveform_vs_median,37.1007862962588
instancegm_knet_station,instancegm,sa30,station,5.0,metadata_plus_p_vs_metadata,26.314102406880213
instancegm_knet_station,instancegm,sa30,station,10.0,metadata_vs_median,26.47385901230093
instancegm_knet_station,instancegm,sa30,station,10.0,p_waveform_vs_median,38.287720382542496
instancegm_knet_station,instancegm,sa30,station,10.0,metadata_plus_p_vs_metadata,27.769892579715616
instancegm_knet_station,knet,pga,station,1.0,metadata_vs_median,35.791440439454426
instancegm_knet_station,knet,pga,station,1.0,p_waveform_vs_median,27.86326535862957
instancegm_knet_station,knet,pga,station,1.0,metadata_plus_p_vs_metadata,11.334879542580081
instancegm_knet_station,knet,pga,station,2.0,metadata_vs_median,35.791440439454426
instancegm_knet_station,knet,pga,station,2.0,p_waveform_vs_median,35.12421595295109
instancegm_knet_station,knet,pga,station,2.0,metadata_plus_p_vs_metadata,13.730527052490793
