dataset,target,holdout,metadata_mae,metadata_r2,test_rows_metadata,group_overlap_metadata,combined_mae,combined_r2,test_rows_combined,group_overlap_combined,mae_reduction_pct,series,split,target_order,dataset_order
instancegm,pga,event,0.3116965698382278,0.6836969429436579,998,0,0.1906927407152147,0.8747224691823039,998,0,38.82103328432993,InstanceGM PGA,held event,0,0
instancegm,pga,station,0.3919522925260567,0.5859257791067591,1000,0,0.252928037148072,0.7992418053157734,1000,0,35.46968802810165,InstanceGM PGA,held station,0,0
instancegm,pgv,event,0.3131456850638064,0.6151096944386156,998,0,0.1552528103547844,0.8946281033839918,998,0,50.42153931543072,InstanceGM PGV,held event,1,0
instancegm,pgv,station,0.3722421669362939,0.5253911257613546,1000,0,0.1763427143144129,0.8583793911721597,1000,0,52.6268837929389,InstanceGM PGV,held station,1,0
instancegm,sa03,event,0.287180547870563,0.6835398834802665,987,0,0.222646254405372,0.8420809694113864,987,0,22.47167990440553,InstanceGM SA03,held event,2,0
instancegm,sa03,station,0.3269999344388457,0.6833539399698321,992,0,0.2418498355989245,0.8138809225383226,992,0,26.039790798748808,InstanceGM SA03,held station,2,0
instancegm,sa10,event,0.2815354993815695,0.6911053537710949,997,0,0.2119934681316568,0.8547732656476748,997,0,24.700981369195404,InstanceGM SA10,held event,3,0
instancegm,sa10,station,0.3305516828433399,0.6411180081889127,1000,0,0.2615089329464972,0.7846810339560205,1000,0,20.8871270304694,InstanceGM SA10,held station,3,0
instancegm,sa30,event,0.2980596375975729,0.4617977272673838,932,0,0.2237051062058253,0.7225148448964758,932,0,24.946192644888697,InstanceGM SA30,held event,4,0
instancegm,sa30,station,0.3432027002957187,0.4218686374354494,942,0,0.2478956790929143,0.6827842120269774,942,0,27.769892579715616,InstanceGM SA30,held station,4,0
knet,pga,event,0.2381855767121059,0.491435317648644,1000,0,0.1084894106528506,0.8686717761706564,1000,0,54.45172955036595,K-NET PGA,held event,0,1
knet,pga,station,0.2223710168328958,0.5848099745711004,1000,0,0.1112985036745596,0.8747112081158755,1000,0,49.9491861575663,K-NET PGA,held station,0,1
