panel,source_table,dataset,target,feature_set,variable,bin,n,x_min,x_max,x_center,metric,value,notes
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,metadata_mae,0.2991840183442956,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,combined_mae,0.2074981255290622,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,mae_reduction_pct,30.645317661895604,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,metadata_q95_abs,0.7693044426046937,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,combined_q95_abs,0.6643211222882635,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,q95_reduction_pct,13.646524639969588,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,combined_r2,0.8469953975256078,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,combined_median_signed,0.0063727210449906,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pga,metadata_plus_early_waveform,,,,,,,combined_overpredict_fraction,0.5115115115115115,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,metadata_mae,0.297551867124149,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,combined_mae,0.1645344556005575,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,mae_reduction_pct,44.70394113443489,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,metadata_q95_abs,0.7902080133807945,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,combined_q95_abs,0.4966391961249591,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,q95_reduction_pct,37.15082766622959,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,combined_r2,0.8634676809863968,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,combined_median_signed,0.0142932093965399,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,pgv,metadata_plus_early_waveform,,,,,,,combined_overpredict_fraction,0.561,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,metadata_mae,0.2728195796585652,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,combined_mae,0.22109311130668,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,mae_reduction_pct,18.95995456653847,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,metadata_q95_abs,0.707638348897808,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,combined_q95_abs,0.6187309371504852,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,q95_reduction_pct,12.56396178723238,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,combined_r2,0.833843499408655,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,combined_median_signed,-0.007810746526299,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa03,metadata_plus_early_waveform,,,,,,,combined_overpredict_fraction,0.4903553299492386,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,metadata_mae,0.2864402042559942,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,combined_mae,0.2096107106215742,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,mae_reduction_pct,26.822175271791387,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,metadata_q95_abs,0.7159943787490279,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,combined_q95_abs,0.5518198895392459,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,q95_reduction_pct,22.929577952361115,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,combined_r2,0.8266862910190402,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,combined_median_signed,0.0096348969964601,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa10,metadata_plus_early_waveform,,,,,,,combined_overpredict_fraction,0.518,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,metadata_mae,0.3059099530115025,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,combined_mae,0.2420968488919919,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,mae_reduction_pct,20.86009411962845,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,metadata_q95_abs,0.7810479212290659,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,combined_q95_abs,0.5933902680981329,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,q95_reduction_pct,24.026394287770813,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,combined_r2,0.6797051739315629,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,combined_median_signed,0.0194503929114189,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,instancegm,sa30,metadata_plus_early_waveform,,,,,,,combined_overpredict_fraction,0.5365079365079365,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,metadata_mae,0.2170327607630392,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,combined_mae,0.1047064444022345,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,mae_reduction_pct,51.75546584114315,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,metadata_q95_abs,0.5335214974137101,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,combined_q95_abs,0.3042058487138672,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,q95_reduction_pct,42.98151992215302,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,combined_r2,0.8765968157981207,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,combined_median_signed,0.0163059397134899,Panel A metric or supporting metric.
A_error_reduction,ground_motion_residual_metric_deltas.csv,knet,pga,metadata_plus_early_waveform,,,,,,,combined_overpredict_fraction,0.57,Panel A metric or supporting metric.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(0.896, 26.063]",200,0.897,26.021,13.459,median_signed_residual,0.0115201871083496,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(0.896, 26.063]",200,0.897,26.021,13.459,mean_signed_residual,0.0052233599441598,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(0.896, 26.063]",200,0.897,26.021,13.459,mae_residual,0.0901927462235887,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(0.896, 26.063]",200,0.897,26.021,13.459,q90_abs_residual,0.1901168784534929,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(0.896, 26.063]",200,0.897,26.021,13.459,overpredict_fraction,0.555,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(26.063, 42.598]",200,26.074,42.513,34.2935,median_signed_residual,0.017932864820792,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(26.063, 42.598]",200,26.074,42.513,34.2935,mean_signed_residual,0.026995637640594,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(26.063, 42.598]",200,26.074,42.513,34.2935,mae_residual,0.0779963322826136,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(26.063, 42.598]",200,26.074,42.513,34.2935,q90_abs_residual,0.1750180129194269,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(26.063, 42.598]",200,26.074,42.513,34.2935,overpredict_fraction,0.615,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(42.598, 59.72]",200,42.655,59.648,51.1515,median_signed_residual,0.0067700611237321,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(42.598, 59.72]",200,42.655,59.648,51.1515,mean_signed_residual,0.0006075419613514,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(42.598, 59.72]",200,42.655,59.648,51.1515,mae_residual,0.092744305438731,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(42.598, 59.72]",200,42.655,59.648,51.1515,q90_abs_residual,0.1922829488591655,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(42.598, 59.72]",200,42.655,59.648,51.1515,overpredict_fraction,0.535,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(59.72, 81.704]",200,59.829,81.656,70.7425,median_signed_residual,0.0203209563340209,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(59.72, 81.704]",200,59.829,81.656,70.7425,mean_signed_residual,0.0060900281424927,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(59.72, 81.704]",200,59.829,81.656,70.7425,mae_residual,0.1027722181057664,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(59.72, 81.704]",200,59.829,81.656,70.7425,q90_abs_residual,0.2230700257233789,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(59.72, 81.704]",200,59.829,81.656,70.7425,overpredict_fraction,0.575,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(81.704, 245.262]",200,81.897,245.262,163.5795,median_signed_residual,0.0303821297068415,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(81.704, 245.262]",200,81.897,245.262,163.5795,mean_signed_residual,0.0260580831529846,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(81.704, 245.262]",200,81.897,245.262,163.5795,mae_residual,0.1598266199604729,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(81.704, 245.262]",200,81.897,245.262,163.5795,q90_abs_residual,0.3402316318458238,Panel B-D binned residual diagnostic value.
B_knet_distance,ground_motion_residual_bins.csv,knet,pga,metadata_plus_early_waveform,source_distance_km,"(81.704, 245.262]",200,81.897,245.262,163.5795,overpredict_fraction,0.57,Panel B-D binned residual diagnostic value.
C_instancegm_depth,ground_motion_residual_bins.csv,instancegm,pga,metadata_plus_early_waveform,source_depth_km,"(1.999, 8.3]",206,2.0,8.3,5.15,median_signed_residual,0.0054516068212335,Panel B-D binned residual diagnostic value.
C_instancegm_depth,ground_motion_residual_bins.csv,instancegm,pga,metadata_plus_early_waveform,source_depth_km,"(1.999, 8.3]",206,2.0,8.3,5.15,mean_signed_residual,-0.0167141942736748,Panel B-D binned residual diagnostic value.
C_instancegm_depth,ground_motion_residual_bins.csv,instancegm,pga,metadata_plus_early_waveform,source_depth_km,"(1.999, 8.3]",206,2.0,8.3,5.15,mae_residual,0.2016448572943973,Panel B-D binned residual diagnostic value.
C_instancegm_depth,ground_motion_residual_bins.csv,instancegm,pga,metadata_plus_early_waveform,source_depth_km,"(1.999, 8.3]",206,2.0,8.3,5.15,q90_abs_residual,0.4437331652979095,Panel B-D binned residual diagnostic value.
