model,dataset,phase,n,matched,missing,missing_rate,mae,median_abs,q95_abs,gt1s,gt2s
eqtransformer_stead,instancegm,P,1000,813,187,0.187,0.9166912669126692,0.07,1.1379999999999972,44,28
eqtransformer_stead,instancegm,S,1000,521,479,0.479,0.6085604606525911,0.08,1.1,32,11
eqtransformer_stead,iquique,P,1000,970,30,0.03,0.4312061855670103,0.1,0.5854999999999995,19,6
eqtransformer_stead,iquique,S,1000,844,156,0.156,0.4229620853080569,0.18,1.216999999999998,64,10
eqtransformer_stead,knet,P,1000,855,145,0.145,0.3138187134502924,0.03,0.1529999999999995,4,4
eqtransformer_stead,knet,S,1000,1000,0,0.0,0.29874,0.11,1.060999999999999,58,12
eqtransformer_stead,stead,P,1000,858,142,0.142,0.3387166282051282,0.02,0.14,12,10
eqtransformer_stead,stead,S,1000,999,1,0.001,0.0933985915915916,0.04,0.3354999999999996,4,0
phasenet_stead,instancegm,P,1000,867,133,0.133,0.4461014994232987,0.06,0.76,30,12
phasenet_stead,instancegm,S,1000,548,452,0.452,0.3483394160583942,0.07,0.9859999999999992,27,9
phasenet_stead,iquique,P,1000,978,22,0.022,0.473118609406953,0.09,0.63,18,4
phasenet_stead,iquique,S,1000,834,166,0.166,0.6651318944844125,0.185,1.183499999999999,60,12
phasenet_stead,knet,P,1000,962,38,0.038,0.0559251559251559,0.03,0.1694999999999993,0,0
phasenet_stead,knet,S,1000,1000,0,0.0,0.29942,0.11,1.050999999999999,56,12
phasenet_stead,stead,P,1000,1000,0,0.0,0.035190867,0.02,0.12,1,0
phasenet_stead,stead,S,1000,1000,0,0.0,0.082166973,0.032,0.3400999999999999,4,1
