dataset,target,series,feature,top5_rows,all_rows,all_median,top5_median,median_shift,iqr_scaled_shift,top5_underprediction_fraction,top5_median_abs_residual
instancegm,pga,instancegm pga,distance,50,999,43.195,36.579,-6.616,-0.11955294138906204,0.56,0.8071034878468477
instancegm,pga,instancegm pga,magnitude,50,999,2.2,2.2,0.0,0.0,0.56,0.8071034878468477
instancegm,pga,instancegm pga,depth,50,999,10.0,10.3,0.3000000000000007,0.06976744186046527,0.56,0.8071034878468477
instancegm,pga,instancegm pga,Vs30,50,999,607.0,591.0,-16.0,-0.11851851851851852,0.56,0.8071034878468477
instancegm,pga,instancegm pga,early amp,50,999,-5.061275312753732,-4.402006249440822,0.6592690633129106,0.411413130472507,0.56,0.8071034878468477
instancegm,pga,instancegm pga,target,50,999,-1.694552752355912,-1.426451955766538,0.268100796589374,0.24414014466419173,0.56,0.8071034878468477
instancegm,pgv,instancegm pgv,distance,50,1000,43.175,30.043,-13.131999999999998,-0.2377639470408509,0.64,0.6919627692606833
instancegm,pgv,instancegm pgv,magnitude,50,1000,2.2,2.2,0.0,0.0,0.64,0.6919627692606833
instancegm,pgv,instancegm pgv,depth,50,1000,10.0,9.75,-0.25,-0.05813953488372092,0.64,0.6919627692606833
instancegm,pgv,instancegm pgv,Vs30,50,1000,607.0,608.0,1.0,0.007407407407407408,0.64,0.6919627692606833
instancegm,pgv,instancegm pgv,early amp,50,1000,-5.057034639088624,-3.617390453438266,1.4396441856503577,0.8980866738926762,0.64,0.6919627692606833
instancegm,pgv,instancegm pgv,target,50,1000,-3.188224092526646,-2.213158718674718,0.9750653738519279,1.0245847080222716,0.64,0.6919627692606833
instancegm,sa03,instancegm sa03,distance,50,985,43.336,65.1585,21.822500000000005,0.39357404368135346,0.52,0.7408198662580452
instancegm,sa03,instancegm sa03,magnitude,50,985,2.2,2.3,0.09999999999999964,0.16666666666666605,0.52,0.7408198662580452
instancegm,sa03,instancegm sa03,depth,50,985,10.0,10.8,0.8000000000000007,0.1860465116279071,0.52,0.7408198662580452
instancegm,sa03,instancegm sa03,Vs30,50,985,607.0,589.5,-17.5,-0.12962962962962962,0.52,0.7408198662580452
instancegm,sa03,instancegm sa03,early amp,50,985,-5.035798227781639,-4.7430324279594105,0.29276579982222817,0.18398191473599457,0.52,0.7408198662580452
instancegm,sa03,instancegm sa03,target,50,985,-2.717450162274746,-3.0045356273500268,-0.28708546507528077,-0.2674612304960711,0.52,0.7408198662580452
instancegm,sa10,instancegm sa10,distance,50,1000,43.175,32.098,-11.076999999999998,-0.2005567500282901,0.5,0.6443923823975859
instancegm,sa10,instancegm sa10,magnitude,50,1000,2.2,2.2,0.0,0.0,0.5,0.6443923823975859
instancegm,sa10,instancegm sa10,depth,50,1000,10.0,9.95,-0.05000000000000071,-0.011627906976744349,0.5,0.6443923823975859
instancegm,sa10,instancegm sa10,Vs30,50,1000,607.0,612.5,5.5,0.040740740740740744,0.5,0.6443923823975859
instancegm,sa10,instancegm sa10,early amp,50,1000,-5.057034639088624,-4.20504322276495,0.8519914163236733,0.5314939239139683,0.5,0.6443923823975859
instancegm,sa10,instancegm sa10,target,50,1000,-3.6518328472618578,-3.502968873829931,0.1488639734319266,0.15018276985780418,0.5,0.6443923823975859
instancegm,sa30,instancegm sa30,distance,48,945,42.96,33.317,-9.643,-0.17663436704339383,0.625,0.7215276647757882
instancegm,sa30,instancegm sa30,magnitude,48,945,2.2,2.3,0.09999999999999964,0.16666666666666605,0.625,0.7215276647757882
instancegm,sa30,instancegm sa30,depth,48,945,10.0,9.7,-0.3000000000000007,-0.06976744186046527,0.625,0.7215276647757882
instancegm,sa30,instancegm sa30,Vs30,48,945,607.0,597.5,-9.5,-0.06934306569343066,0.625,0.7215276647757882
instancegm,sa30,instancegm sa30,early amp,48,945,-4.939646816354344,-3.749236299142778,1.190410517211566,0.7179960677089452,0.625,0.7215276647757882
instancegm,sa30,instancegm sa30,target,48,945,-4.13676281737869,-3.293448940518732,0.8433138768599582,1.3179343143805882,0.625,0.7215276647757882
knet,pga,knet pga,distance,50,1000,51.085,87.797,36.711999999999996,0.7972636950974537,0.54,0.3655529380534015
knet,pga,knet pga,magnitude,50,1000,4.2,4.5,0.2999999999999998,0.4999999999999996,0.54,0.3655529380534015
knet,pga,knet pga,depth,50,1000,42.0,58.0,16.0,0.38095238095238093,0.54,0.3655529380534015
knet,pga,knet pga,Vs30,50,1000,,,,,0.54,0.3655529380534015
knet,pga,knet pga,early amp,50,1000,1.358393298999185,1.3535767255961366,-0.004816573403048308,-0.012230189516605915,0.54,0.3655529380534015
knet,pga,knet pga,target,50,1000,0.8873870008176774,0.8920381268161641,0.004651125998486716,0.008251165156599231,0.54,0.3655529380534015
