dataset,target,early_seconds,holdout,feature_set,tail_quantile,tail_rows,tail_cutoff_log10,mae_log10_target,under_factor2_rate,mean_underprediction_log10,q95_underprediction_log10
instancegm,pga,10,station,metadata_only,0.9,100,-0.9250806350762566,0.45542081518548544,0.45,0.3824008669514671,1.044536395384313
instancegm,pga,10,station,metadata_plus_early_waveform,0.9,100,-0.9250806350762566,0.32717574847578057,0.28,0.24697026844344247,0.8066933394653816
instancegm,pga,10,station,metadata_only,0.95,50,-0.5405451689709544,0.5302688367391889,0.6,0.5124743743904091,1.2159780810864755
instancegm,pga,10,station,metadata_plus_early_waveform,0.95,50,-0.5405451689709544,0.35639255683284227,0.28,0.30853972263875507,0.974867503100031
instancegm,pgv,10,station,metadata_only,0.9,100,-2.280759452313007,0.6151260421697725,0.48,0.5431890723333361,1.912348527043437
instancegm,pgv,10,station,metadata_plus_early_waveform,0.9,100,-2.280759452313007,0.3870792601150987,0.43,0.34082404421340184,0.9986356255178214
instancegm,pgv,10,station,metadata_only,0.95,50,-1.9371425330190195,0.8423639534302416,0.7,0.8185867297011405,1.9992969520773591
instancegm,pgv,10,station,metadata_plus_early_waveform,0.95,50,-1.9371425330190195,0.5407816918538492,0.62,0.512053821882686,1.2250800773259634
instancegm,sa03,10,station,metadata_only,0.9,100,-1.8218370868925238,0.3976952478246776,0.4,0.33055320926008874,0.8910919055644502
instancegm,sa03,10,station,metadata_plus_early_waveform,0.9,100,-1.8218370868925238,0.3089935803395043,0.35,0.261471143029331,0.7797222653166852
instancegm,sa03,10,station,metadata_only,0.95,50,-1.5342302319926817,0.473892937466551,0.5,0.428179376737844,1.1747395962194809
instancegm,sa03,10,station,metadata_plus_early_waveform,0.95,50,-1.5342302319926817,0.3722873195759778,0.48,0.3496654209625959,1.119448483467584
instancegm,sa10,10,station,metadata_only,0.9,100,-2.603376349023265,0.5325162248885886,0.5,0.47492302231975003,1.3218254749695033
instancegm,sa10,10,station,metadata_plus_early_waveform,0.9,100,-2.603376349023265,0.4292150805889935,0.51,0.3897601511741285,0.862911787960901
instancegm,sa10,10,station,metadata_only,0.95,50,-2.2286815187272895,0.6445723599895702,0.6,0.5946994713693751,1.5522509644370375
instancegm,sa10,10,station,metadata_plus_early_waveform,0.95,50,-2.2286815187272895,0.5224596800849042,0.56,0.47886602285138224,1.156776492447085
instancegm,sa30,10,station,metadata_only,0.9,95,-3.3275661156745437,0.7882898689387022,0.7368421052631579,0.765332894902019,1.6841164890766187
instancegm,sa30,10,station,metadata_plus_early_waveform,0.9,95,-3.3275661156745437,0.5976385930183334,0.6631578947368421,0.5715517767892923,1.4396735568860035
instancegm,sa30,10,station,metadata_only,0.95,48,-2.8629012875562445,0.9839861761552363,0.7708333333333334,0.9775740786138077,2.317295524059823
instancegm,sa30,10,station,metadata_plus_early_waveform,0.95,48,-2.8629012875562445,0.7828160447989815,0.8125,0.7602945389552437,1.9522219160651637
knet,pga,10,station,metadata_only,0.9,100,1.5622002126493626,0.3116422666906469,0.46,0.29297383361065665,0.7068241798269234
knet,pga,10,station,metadata_plus_early_waveform,0.9,100,1.5622002126493626,0.09998303379658456,0.07,0.08414609576725245,0.34474187846563037
knet,pga,10,station,metadata_only,0.95,50,1.8067408122140085,0.3042463264687221,0.44,0.2817641962523367,0.6561639418242285
knet,pga,10,station,metadata_plus_early_waveform,0.95,50,1.8067408122140085,0.10334031002292697,0.08,0.09273431975716302,0.3519724029173213
