global_id,record_id,event_id,station_network_code,station_code,dataset,split,target_pga,target_log10_pga,target_pgv,target_log10_pgv,target_sa03,target_log10_sa03,target_sa10,target_log10_sa10,target_sa30,target_log10_sa30,source_magnitude,source_depth_km,source_distance_km,station_elevation_m,station_vs30_mps,year,n_samples,early_seconds,z_early_absmax,z_early_rms,z_early_std,z_early_p95_abs,n_early_absmax,n_early_rms,n_early_std,n_early_p95_abs,e_early_absmax,e_early_rms,e_early_std,e_early_p95_abs,h_early_absmax,vec_early_absmax,vec_early_rms
"instancegm:bucket76$895,:3,:12000","bucket76$895,:3,:12000",11585861,IV,T1299,instancegm,train,0.07816551,-1.1069848341632393,0.00099794,-3.0008955693862185,0.005124128,-2.290380030176499,0.000395438,-3.402921599065488,7.66808e-05,-4.1153133648371005,2.2,9.5,35.641,940.0,632.0,2016.0,12000.0,10.0,0.0006314401980489492,7.327262574108317e-05,7.327248022193089e-05,0.0001650568883633241,0.0007463369984179735,8.237371366703883e-05,8.237310248659924e-05,0.00014599108544643968,0.000603784283157438,6.236412446014583e-05,6.236223998712376e-05,0.00015064148465171456,0.0008196349372155964,0.0008832996245473623,0.00012666328984778374
"instancegm:bucket962$918,:3,:12000","bucket962$918,:3,:12000",7387281,IV,T1243,instancegm,train,0.21152988,-0.6746282769766351,0.00502595,-2.2987818362432653,0.020418353,-1.6899792922128332,0.000811837,-3.090531159313819,0.0001109384,-3.9549181019886586,2.1,9.1,21.192,1120.0,610.0,2016.0,12000.0,10.0,0.0010603941045701504,0.00021196078159846365,0.0002119607524946332,0.00041442352812737226,0.0021152987610548735,0.00040179878124035895,0.000401798082748428,0.0008315524319186807,0.0020883125253021717,0.0004240165580995381,0.00042401652899570763,0.0009063511970452964,0.002198514761403203,0.002232404425740242,0.0006214174791239202
"instancegm:bucket990$714,:3,:12000","bucket990$714,:3,:12000",7818931,IV,T1247,instancegm,train,0.02677661,-1.5722444068417807,0.00050293,-3.298492457745823,0.0021339082,-2.6708242677095737,0.0003312842,-3.479799276512979,8.22037e-05,-4.085108634364824,2.1,9.3,36.243,836.0,280.0,2016.0,12000.0,10.0,2.4135297280736268e-06,6.959228358027758e-07,6.918941153344349e-07,1.4784200175199658e-06,5.0293078857066575e-06,1.3523559800887597e-06,1.351673063254566e-06,2.9127618290658575e-06,3.682820761241601e-06,1.1070923164879787e-06,1.0960685585814645e-06,2.284241418237798e-06,5.330775366019225e-06,5.340053576219361e-06,1.881177468021633e-06
"instancegm:bucket816$217,:3,:12000","bucket816$217,:3,:12000",3825961,IV,CAFE,instancegm,train,0.02498012,-1.6024054796843552,0.00266882,-2.57368071644962,0.0068522785,-2.164164994136877,0.0025583322,-2.5920430629615216,0.0012163196,-2.914952294899456,3.1,6.4,48.27,1070.0,622.0,2014.0,12000.0,10.0,5.984779363643611e-06,2.308661805727752e-06,2.3073687316355063e-06,4.494451786740683e-06,9.846302418736741e-06,2.638694468259928e-06,2.631409643072402e-06,5.489986961038085e-06,9.17449506232515e-06,2.3429436168953544e-06,2.3340078314504353e-06,5.5437153605453204e-06,1.2890510333818384e-05,1.2969218005309813e-05,4.216872639517533e-06
"instancegm:bucket185$1012,:3,:12000","bucket185$1012,:3,:12000",13763911,IV,RM33,instancegm,test,0.04475456,-1.3491627082375803,0.00066639,-3.1762715286742047,0.0021947653,-2.658611914767945,0.000127628,-3.8940540363398393,2.10126e-05,-4.6775202067186905,2.1,9.2,44.038,1097.0,721.0,2017.0,12000.0,10.0,4.162927325523924e-06,9.162566243503534e-07,9.109863867706736e-07,1.8794949028233532e-06,6.334855243039783e-06,1.3567171208705986e-06,1.2739104704451165e-06,2.8379577088344377e-06,6.663914064120036e-06,1.3489599268723396e-06,1.3465545407598256e-06,3.314044988655951e-06,7.850671863707248e-06,7.854177056287881e-06,2.121296802215511e-06
"instancegm:bucket1013$563,:3,:12000","bucket1013$563,:3,:12000",8332361,IV,T1244,instancegm,train,0.34043425,-0.46796675341195665,0.00381568,-2.418428054319501,0.013419774,-1.872254797980691,0.0018158684,-2.7409156289563303,9.20026e-05,-4.036199899288166,2.3,12.3,8.395,950.0,698.0,2016.0,12000.0,10.0,0.004342874512076378,0.0004358805308584124,0.00043588041444309056,0.0007784422487020493,0.001646325341425836,0.00028148721321485937,0.00028148721321485937,0.0005701978807337582,0.0034043423365801573,0.0004950376460328698,0.0004950376460328698,0.0009637761977501214,0.003432057099416852,0.00437916861847043,0.000717139570042491
"instancegm:bucket486$469,:3,:12000","bucket486$469,:3,:12000",19909441,IV,NRCA,instancegm,train,0.28149876,-0.5505235138724703,0.00395443,-2.4029161077907966,0.009219608,-2.035287543919914,0.0005511006,-3.2587691161446486,8.82878e-05,-4.054099305015184,2.4,21.9,39.072,927.0,591.0,2018.0,12000.0,10.0,0.002146009588614106,0.00031589021091349423,0.00031588986166752875,0.0006709296721965075,0.002814987674355507,0.0004027384566143155,0.0004027384566143155,0.0009626760147511959,0.002118063857778907,0.000395493145333603,0.00039549294160678983,0.0008838815265335143,0.0028378942515701056,0.0029097823426127434,0.0006468382780440152
"instancegm:bucket793$124,:3,:12000","bucket793$124,:3,:12000",3150521,IV,ATPI,instancegm,test,0.00727903,-2.137926490702763,0.00015491,-3.809920546058485,0.0002430728,-3.614263636264906,3.70884e-05,-4.430761901806447,1.83333e-05,-4.736759354852468,0.8,7.1,7.742,694.0,561.0,2014.0,12000.0,10.0,6.852746992080938e-07,2.741338107625779e-07,2.5950831172849576e-07,4.6685102006449597e-07,1.5491456224481226e-06,3.174600635702518e-07,2.622806789531751e-07,6.563423653460632e-07,1.241478230440407e-06,2.2454243264746765e-07,2.1773882963316282e-07,4.112282283585955e-07,1.5583522099404945e-06,1.5585088704028749e-06,4.7576207862221054e-07
"instancegm:bucket887$172,:3,:12000","bucket887$172,:3,:12000",5957241,IV,MOMA,instancegm,train,0.00330338,-2.48104146493691,5.836e-05,-4.233884716778586,,,8.234e-06,-5.084389137338532,,,1.4,7.9,57.743,1040.0,790.0,2015.0,12000.0,10.0,1.9928080519093783e-07,4.216705207227278e-08,4.21667643024648e-08,8.584759569885136e-08,3.2531934834878484e-07,6.247022810157432e-08,6.246532535669758e-08,1.2847607422372676e-07,5.835593697156582e-07,9.430352321260216e-08,9.430331715520879e-08,1.880198823300816e-07,5.839804089191603e-07,5.840856829308905e-07,1.2072176502897491e-07
"instancegm:bucket521$440,:3,:12000","bucket521$440,:3,:12000",20659871,IV,MRLC,instancegm,train,0.00167921,-2.7748949881155753,7.036e-05,-4.152674169214577,0.0003397075,-3.4688948647500544,4.98647e-05,-4.302206789453065,1.20989e-05,-4.917254112794801,2.1,10.6,91.748,605.0,861.0,2018.0,12000.0,10.0,1.7742918601015845e-07,6.512067329822457e-08,6.477895908574283e-08,1.224676822175752e-07,3.3226345408365887e-07,1.116571226589258e-07,1.1110287800875085e-07,2.1900110880324064e-07,2.643564300797152e-07,8.159433662058291e-08,8.138492546549969e-08,1.6655755530337046e-07,3.9888917058306106e-07,4.134137725486653e-07,1.5285827714706102e-07
