dataset,feature_set,mae_log10_target,r2_log10_target,retained_fraction,rmse_log10_target,scope,skipped,source_distance_km_train_q05,source_distance_km_train_q95,source_magnitude_train_q05,source_magnitude_train_q95,target,target_log10_pga_train_q05,target_log10_pga_train_q95,target_log10_pgv_train_q05,target_log10_pgv_train_q95,target_log10_sa03_train_q05,target_log10_sa03_train_q95,target_log10_sa10_train_q05,target_log10_sa10_train_q95,target_log10_sa30_train_q05,target_log10_sa30_train_q95,test_rows_full,test_rows_scope
instancegm,metadata_only,0.3919522925260567,0.5859257791067591,1.0,0.5011944898071368,full_test,False,,,,,pga,,,,,,,,,,,1000,1000
instancegm,metadata_plus_early_waveform,0.25292803714807205,0.7992418053157734,1.0,0.3489826465075765,full_test,False,,,,,pga,,,,,,,,,,,1000,1000
instancegm,metadata_only,0.3842016715279325,0.5529012140340258,0.833,0.49335039412176623,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,pga,,,,,,,,,,,1000,833
instancegm,metadata_plus_early_waveform,0.2393487525641028,0.7960076298068378,0.833,0.3332427396399861,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,pga,,,,,,,,,,,1000,833
instancegm,metadata_only,0.34308408774752036,0.525540881213893,0.73,0.42364761626180103,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,pga,-2.812424447780287,-0.052260456524481226,,,,,,,,,1000,730
instancegm,metadata_plus_early_waveform,0.21137452424796613,0.7973667946025763,0.73,0.2768602937744477,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,pga,-2.812424447780287,-0.052260456524481226,,,,,,,,,1000,730
instancegm,metadata_only,0.37224216693629397,0.5253911257613545,1.0,0.5026679471760481,full_test,False,,,,,pgv,,,,,,,,,,,1000,1000
instancegm,metadata_plus_early_waveform,0.17634271431441295,0.8583793911721597,1.0,0.27458480118000467,full_test,False,,,,,pgv,,,,,,,,,,,1000,1000
instancegm,metadata_only,0.3699429498264278,0.46321043220343217,0.833,0.5067725774055298,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,pgv,,,,,,,,,,,1000,833
instancegm,metadata_plus_early_waveform,0.1683539148161381,0.8431704696021464,0.833,0.27392078887004845,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,pgv,,,,,,,,,,,1000,833
instancegm,metadata_only,0.3303268671577943,0.4469509978808216,0.753,0.4242954317935251,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,pgv,,,-4.143790925772155,-1.686063107104328,,,,,,,1000,753
instancegm,metadata_plus_early_waveform,0.15808745713500955,0.8339397175424662,0.753,0.23249811467479367,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,pgv,,,-4.143790925772155,-1.686063107104328,,,,,,,1000,753
instancegm,metadata_only,0.32699993443884573,0.6833539399698322,1.0,0.4306445851627948,full_test,False,,,,,sa03,,,,,,,,,,,992,992
instancegm,metadata_plus_early_waveform,0.24184983559892453,0.8138809225383226,1.0,0.33016223225331726,full_test,False,,,,,sa03,,,,,,,,,,,992,992
instancegm,metadata_only,0.3121743340601293,0.6448518753372308,0.8356854838709677,0.4168542071570583,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,sa03,,,,,,,,,,,992,829
instancegm,metadata_plus_early_waveform,0.2274170407102305,0.7978677716282333,0.8356854838709677,0.31448302483761104,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,sa03,,,,,,,,,,,992,829
instancegm,metadata_only,0.28339801431462364,0.630552854794918,0.7721774193548387,0.3585881142955679,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,sa03,,,,,-3.839239840701514,-1.2267093421858584,,,,,992,766
instancegm,metadata_plus_early_waveform,0.20789091965206996,0.7833574483626558,0.7721774193548387,0.27459436072503207,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,sa03,,,,,-3.839239840701514,-1.2267093421858584,,,,,992,766
instancegm,metadata_only,0.33055168284334,0.6411180081889127,1.0,0.4542742937875107,full_test,False,,,,,sa10,,,,,,,,,,,1000,1000
instancegm,metadata_plus_early_waveform,0.26150893294649724,0.7846810339560205,1.0,0.3518709969157018,full_test,False,,,,,sa10,,,,,,,,,,,1000,1000
instancegm,metadata_only,0.3239013761678646,0.5631227116644892,0.833,0.45399329179606773,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,sa10,,,,,,,,,,,1000,833
instancegm,metadata_plus_early_waveform,0.2586406562977353,0.7348915311278155,0.833,0.3536563843491409,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,sa10,,,,,,,,,,,1000,833
instancegm,metadata_only,0.29293626835038505,0.5480098775008347,0.778,0.3791415403615336,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,sa10,,,,,,,-4.6600198418252745,-2.271353775778805,,,1000,778
instancegm,metadata_plus_early_waveform,0.24258689418614496,0.6909135862492193,0.778,0.31352837815329404,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,sa10,,,,,,,-4.6600198418252745,-2.271353775778805,,,1000,778
instancegm,metadata_only,0.34320270029571875,0.42186863743544945,1.0,0.4821263785663318,full_test,False,,,,,sa30,,,,,,,,,,,942,942
instancegm,metadata_plus_early_waveform,0.24789567909291435,0.6827842120269774,1.0,0.3571289245366868,full_test,False,,,,,sa30,,,,,,,,,,,942,942
instancegm,metadata_only,0.3467506458068701,0.2844910527238985,0.8386411889596603,0.494495084353657,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,sa30,,,,,,,,,,,942,790
instancegm,metadata_plus_early_waveform,0.244797378666003,0.6273229134619885,0.8386411889596603,0.35687883304277956,source_path_support,False,8.76495,150.95355000000006,1.0,3.4,sa30,,,,,,,,,,,942,790
instancegm,metadata_only,0.2869348031806491,0.198059901487742,0.7505307855626328,0.36390205895122113,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,sa30,,,,,,,,,-4.8755161760635835,-2.989965007679168,942,707
instancegm,metadata_plus_early_waveform,0.21535600100058438,0.5305633360698574,0.7505307855626328,0.2784210397348883,matched_train_support,False,8.76495,150.95355000000006,1.0,3.4,sa30,,,,,,,,,-4.8755161760635835,-2.989965007679168,942,707
knet,metadata_only,0.22237101683289587,0.5848099745711006,1.0,0.2779977074230081,full_test,False,,,,,pga,,,,,,,,,,,1000,1000
knet,metadata_plus_early_waveform,0.11129850367455961,0.8747112081158755,1.0,0.1527122477281931,full_test,False,,,,,pga,,,,,,,,,,,1000,1000
knet,metadata_only,0.21494097233932008,0.5094496548412973,0.824,0.27124947742707156,source_path_support,False,13.21565,124.45980000000004,3.6,5.8,pga,,,,,,,,,,,1000,824
knet,metadata_plus_early_waveform,0.10484822181738786,0.8656474838619101,0.824,0.14195477951492566,source_path_support,False,13.21565,124.45980000000004,3.6,5.8,pga,,,,,,,,,,,1000,824
knet,metadata_only,0.20423124178075852,0.42177888865963453,0.767,0.2589647337482996,matched_train_support,False,13.21565,124.45980000000004,3.6,5.8,pga,0.4065440756338903,1.8156405917008107,,,,,,,,,1000,767
knet,metadata_plus_early_waveform,0.10131072335680381,0.8360640668090711,0.767,0.137889352333224,matched_train_support,False,13.21565,124.45980000000004,3.6,5.8,pga,0.4065440756338903,1.8156405917008107,,,,,,,,,1000,767
